n,rho0,seed,rho,solution_time_P1,solution_time_P2,solution_time_D1A,solution_time_D1B,solution_time_D2A,solution_time_D2B,optimal_val_P1,optimal_val_P2,optimal_val_D1A,optimal_val_D1B,optimal_val_D2A,optimal_val_D2B,objective_bound_P1,objective_bound_P2,objective_bound_D1A,objective_bound_D1B,objective_bound_D2A,objective_bound_D2B,relative_gap_P1,relative_gap_P2,relative_gap_D1A,relative_gap_D1B,relative_gap_D2A,relative_gap_D2B,termination_status_P1,termination_status_P2,termination_status_D1A,termination_status_D1B,termination_status_D2A,termination_status_D2B
50,12,10,6,600.02981710434,600.03364777565,610.835800567991,119.205204837956,475.600710213999,149.458524608985,0.00162951418474944,0.0015203197508467,28.886327885169,-0.0984516661117922,-0.0984513733236393,-0.098451512574359,-0.0301574733298821,-0.0387923789312932,28.886327885169,-0.0984516661117922,-0.0984513733236393,-0.098451512574359,1950.70333306238,2651.59343353192,0,0,0,0,TIME_LIMIT,TIME_LIMIT,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,10,9,600.023834943771,600.098873138428,610.966766071972,138.851963059045,478.775003998075,149.990645637037,0.000165118041158842,0.000341143846731848,22.2033423828932,-0.0984520345330879,-0.0984519112926919,-0.0984520325727642,-0.0984781430128046,-0.0833925738919948,22.2033423828932,-0.0984520345330879,-0.0984519112926919,-0.0984520325727642,59741.0557693509,24544.9884384239,0,0,0,0,TIME_LIMIT,TIME_LIMIT,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,11,3,20.6240339279175,16.4959759712219,611.747945170035,158.582479313016,455.363933459972,198.765420006937,0.00313831152612556,0.00313872151244097,23.8380600545256,-0.0997297806341924,-0.0997291598854687,-0.0997298034413478,0.00313772714892616,0.00313775525795675,23.8380600545256,-0.0997297806341924,-0.0997291598854687,-0.0997298034413478,0.0186207517812854,0.0307849702622693,0,0,0,0,OPTIMAL,OPTIMAL,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,11,6,600.029471158981,600.033648967743,608.916708118049,131.840505080996,436.933064833982,159.523438050994,0.000795582121602578,0.000795581265636204,30.5719491764427,-0.0997296187527173,-0.0997294860254714,-0.099729716113061,-0.0303434316982168,-0.0148701425893503,30.5719491764427,-0.0997296187527173,-0.0997294860254714,-0.099729716113061,3913.99114865661,1969.09159775891,0,0,0,0,TIME_LIMIT,TIME_LIMIT,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,11,9,600.012107133865,600.023663043976,613.191426667036,132.419866384007,478.695531119942,170.059851118014,0.000228611514004388,0.000228423182525639,23.5022599295468,-0.099729570294384,-0.0997295479015434,-0.0997293404962361,-0.0990532036580352,-0.105336344141319,23.5022599295468,-0.099729570294384,-0.0997295479015434,-0.0997293404962361,43428.1779745066,46214.5593790576,0,0,0,0,TIME_LIMIT,TIME_LIMIT,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,12,3,16.9299991130829,14.6505391597748,611.792336685001,150.667968071997,417.762295802007,206.394032767974,0.00383906459935057,0.00383861020575549,22.641640529005,-0.0999297331394373,-0.0999294640801653,-0.0999295426082897,0.0038380414448714,0.00383847361834119,22.641640529005,-0.0999297331394373,-0.0999294640801653,-0.0999295426082897,0.0266511399506386,0.00355825173628645,0,0,0,0,OPTIMAL,OPTIMAL,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,12,6,600.024223089218,600.020392894745,610.738988942001,107.704243674991,441.053818464978,199.849404184031,0.00180646139425349,0.00180662023572213,28.9415737725579,-0.0999294466651991,-0.0999294871939193,-0.0999297495721897,-0.0180003467047463,-0.0375449502486445,28.9415737725579,-0.0999294466651991,-0.0999294871939193,-0.0999297495721897,1096.44236860012,2178.18718656371,0,0,0,0,TIME_LIMIT,TIME_LIMIT,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,12,9,600.038167953491,600.02455496788,609.130116382032,132.510362687986,495.453690286959,147.626481914893,8.77641772936522E-05,8.75232588110577E-05,22.2779478344859,-0.0999296771927691,-0.0999288670349082,-0.0999294328044522,-0.0961421118606418,-0.101267522296425,22.2779478344859,-0.0999296771927691,-0.0999288670349082,-0.0999294328044522,109645.961490595,115803.555457228,0,0,0,0,TIME_LIMIT,TIME_LIMIT,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,13,3,20.2229580879211,21.4302318096161,611.458332524053,151.990532986005,464.050108821946,237.27733556903,0.00563128874574689,0.00563128702646093,20.6505958395624,-0.0967913109959081,-0.0967904530972875,-0.0967912842868985,0.00563107582951834,0.00563102496348045,20.6505958395624,-0.0967913109959081,-0.0967904530972875,-0.0967912842868985,0.00378095029694711,0.00465369602457488,0,0,0,0,OPTIMAL,OPTIMAL,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
50,12,13,6,600.015279054642,600.028124094009,610.662671718048,114.079763045069,398.864149069064,170.243171568029,0.00121782328274572,0.00121785498064256,26.3576155312954,-0.0967913386656479,-0.0967907512037448,-0.096791346237774,-0.00771143266282412,-0.0250957306561458,26.3576155312954,-0.0967913386656479,-0.0967907512037448,-0.096791346237774,733.21442216459,2160.65016402076,0,0,0,0,TIME_LIMIT,TIME_LIMIT,TIME_LIMIT,OPTIMAL,OPTIMAL,OPTIMAL
